行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
三星鄉,4786,40.27 ,6948,58.47 ,150,1.26 ,11884
大同鄉,2491,82.40 ,485,16.04 ,47,1.55 ,3023
五結鄉,7785,41.28 ,10967,58.15 ,107,0.57 ,18859
冬山鄉,11025,41.00 ,15642,58.17 ,225,0.84 ,26892
壯圍鄉,7304,49.54 ,7302,49.53 ,138,0.94 ,14744
宜蘭市,26150,56.90 ,19537,42.51 ,273,0.59 ,45960
南澳鄉,2672,89.30 ,283,9.46 ,37,1.24 ,2992
員山鄉,8007,47.02 ,8862,52.04 ,160,0.94 ,17029
頭城鎮,12014,69.28 ,5074,29.26 ,253,1.46 ,17341
礁溪鄉,10591,53.90 ,8885,45.21 ,175,0.89 ,19651
羅東鎮,16433,47.75 ,17767,51.62 ,216,0.63 ,34416
蘇澳鎮,12205,51.84 ,11101,47.15 ,239,1.02 ,23545
候選人,呂國華,陳定南,,,,,
當選人,呂國華,國民黨,,,,,
