行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
大武鄉,0,0.00,0,0.00,3476,100.00,3476
太麻里鄉,0,0.00,0,0.00,5426,100.00,5426
臺東市,0,0.00,0,0.00,49521,100.00,49521
延平鄉,0,0.00,0,0.00,1822,100.00,1822
成功鎮,0,0.00,0,0.00,6854,100.00,6854
池上鄉,0,0.00,0,0.00,4328,100.00,4328
卑南鄉,0,0.00,0,0.00,8369,100.00,8369
東河鄉,0,0.00,0,0.00,3955,100.00,3955
金峰鄉,0,0.00,0,0.00,1842,100.00,1842
長濱鄉,0,0.00,0,0.00,3662,100.00,3662
海端鄉,0,0.00,0,0.00,1913,100.00,1913
鹿野鄉,0,0.00,0,0.00,4495,100.00,4495
達仁鄉,0,0.00,0,0.00,1983,100.00,1983
綠島鄉,0,0.00,0,0.00,1393,100.00,1393
關山鎮,0,0.00,0,0.00,4752,100.00,4752
蘭嶼鄉,0,0.00,0,0.00,1289,100.00,1289
候選人,（無）,（無）,,,,,
當選人,吳俊立,無黨籍,,,,,
