新行政區,舊行政區
永康區,永康市
歸仁區,歸仁鄉
新化區,新化鎮
左鎮區,左鎮鄉
玉井區,玉井鄉
楠西區,楠西鄉
南化區,南化鄉
仁德區,仁德鄉
關廟區,關廟鄉
龍崎區,龍崎鄉
官田區,官田鄉
麻豆區,麻豆鎮
佳里區,佳里鎮
西港區,西港鄉
七股區,七股鄉
將軍區,將軍鄉
學甲區,學甲鎮
北門區,北門鄉
新營區,新營市
後壁區,後壁鄉
白河區,白河鎮
東山區,東山鄉
六甲區,六甲鄉
下營區,下營鄉
柳營區,柳營鄉
鹽水區,鹽水鎮
善化區,善化鎮
大內區,大內鄉
山上區,山上鄉
新市區,新市鄉
安定區,安定鄉
土城區,土城市
雙溪區,雙溪鄉
鶯歌區,鶯歌鎮
八里區,八里鄉
三芝區,三芝鄉
三重區,三重市
三峽區,三峽鎮
土城區,土城市
中和區,中和市
五股區,五股鄉
平溪區,平溪鄉
永和區,永和市
石門區,石門鄉
石碇區,石碇鄉
汐止區,汐止市
坪林區,坪林鄉
板橋區,板橋市
林口區,林口鄉
金山區,金山鄉
泰山區,泰山鄉
烏來區,烏來鄉
貢寮區,貢寮鄉
淡水區,淡水鎮 
深坑區,深坑鄉
萬里區,萬里鄉
新店區,新店市
新莊區,新莊市
瑞芳區,瑞芳鎮
樹林區,雙溪鄉
蘆洲區,蘆洲市
鶯歌區,鶯歌鎮
楠梓區,楠梓區
左營區,左營區
鼓山區,鼓山區
鹽埕區,鹽埕區
前金區,前金區
新興區,新興區
苓雅區,苓雅區
前鎮區,前鎮區
旗津區,旗津區
小港區,小港區
鳳山區,鳳山市
大寮區,大寮鄉
鳥松區,鳥松鄉
林園區,林園鄉
仁武區,仁武鄉
大樹區,大樹鄉
大社區,大社鄉
岡山區,岡山鎮
路竹區,路竹鄉
橋頭區,橋頭鄉
梓官區,梓官鄉
彌陀區,彌陀鄉
永安區,永安鄉
燕巢區,燕巢區
田寮區,田寮鄉
阿蓮區,阿蓮鄉
茄萣區,茄萣鄉
湖內區,湖內鄉
旗山區,旗山鎮
美濃區,美濃鎮
內門區,內門鄉
杉林區,杉林鄉
甲仙區,甲仙鄉
六龜區,六龜鄉
茂林區,茂林鄉
桃源區,桃源鄉
